Category,Subfolder,File,Source,PW score (Entity Coherence),PU score (Entity Coherence),PACC uniform (Entity Coherence),PACC weighted (Entity Coherence),Avg entities/sentence (Entity Coherence),Total entities (Entity Coherence),Sentences analyzed (Entity Coherence),Entity persistence ratio (Entity Coherence),Consensus grade level (Readability),Flesch Reading Ease 0-100 (Readability),Flesch-Kincaid grade level (Readability),ARI grade level (Readability),Gunning Fog grade level (Readability),SMOG grade level (Readability),Coleman-Liau grade level (Readability),Interpretation (Readability),Structure score 0-100 (Structure),Headings count (Structure),Headings per sentence (Structure),List items count (Structure),Lists per sentence (Structure),Readiness score 0-100 (Requirements),SMAO sentences count (Requirements),SMAO sentences % (Requirements),Vague words per sentence (Requirements),Anaphora per sentence (Requirements),Sentence CV (Requirements),CPRE terms per sentence (CPRE)
Long PRD,prd_files,alexhouse-ua__BookHelper__docs__product-brief,https://github.com/alexhouse-ua/BookHelper,183.64,66.89,309.86,3.52,4.76,914,192,0.56,22.5,-6.9,21.4,24,25.3,21.1,20.8,Very Difficult (College Graduate),64.3,39,0.17,571,2.43,46.0,0,0.0,0.22,0.1,1.366,1.01
Long PRD,prd_files,alexhouse-ua__BookHelper__docs__archive__legacy-structure-2025-12-04__0-project__product-brief,https://github.com/alexhouse-ua/BookHelper,183.64,66.89,309.86,3.52,4.77,915,192,0.56,22.5,-6.9,21.4,24,25.3,21.1,20.8,Very Difficult (College Graduate),64.3,39,0.17,571,2.43,46.0,0,0.0,0.22,0.1,1.364,1.01
Long PRD,prd_files,Trusaman__hoadon__docs__implementation-log,https://github.com/Trusaman/hoadon,207.39,76.84,421.04,3.55,3.24,755,233,0.57,16.9,12.8,15.4,17,17.1,14.9,19.6,Very Difficult (College Graduate),95.3,214,0.42,772,1.5,46.0,0,0.0,0.28,0.06,1.529,0.79
Long PRD,prd_files,dudleypeacockqa__ma-saas-platform__docs__strategy__DETAILED_ACTION_PLAN_COMPLETE,https://github.com/dudleypeacockqa/ma-saas-platform,149.36,75.59,289.62,3.19,2.99,1040,348,0.63,24.5,-21.7,22.7,26,27.0,21.9,25.1,Very Difficult (College Graduate),52.6,60,0.16,138,0.37,46.0,0,0.0,0.19,0.04,0.843,1.96
Long PRD,prd_files,brainrepo__perrache-api__docs__implementation-readiness-report-2025-11-10,https://github.com/brainrepo/perrache-api,217.35,97.72,385.99,3.61,3.22,1079,335,0.62,20.1,-1.5,18.7,21,22.0,18.4,21.2,Very Difficult (College Graduate),72.9,78,0.19,698,1.73,46.0,0,0.0,0.27,0.06,1.727,2.19
Long PRD,prd_files,zzwwbs__ZoteroRAG__docs__prd,https://github.com/zzwwbs/ZoteroRAG,69.81,45.19,189.47,1.5,1.38,782,568,0.48,9.9,46.1,8.4,8,12.2,10.2,10.6,Difficult (College),86.2,142,0.12,278,0.24,46.0,15,1.3,0.08,0.13,1.518,0.35
Long PRD,prd_files,treasurenetprotocol__smart-contracts__tcash,https://github.com/treasurenetprotocol/smart-contracts,118.37,65.46,230.41,2.36,1.89,897,475,0.47,10.9,37.4,9.4,10,12.1,9.8,12.6,Difficult (College),34.2,69,0.04,51,0.03,46.0,7,0.4,0.06,0.08,1.825,0.21
Long PRD,prd_files,IBE160__SG-Tony__docs__implementation-readiness-report-2025-11-19,https://github.com/IBE160/SG-Tony,143.82,54.07,278.04,2.74,4.62,1040,225,0.58,19.7,6.9,18.4,21,21.3,18.3,19.6,Very Difficult (College Graduate),63.9,42,0.14,690,2.23,46.0,0,0.0,0.19,0.09,1.42,2.77
Wikipedia,non_related_wikipedia_samples,wiki__2005_Texas_Longhorns_football_team,https://en.wikipedia.org/wiki/2005_Texas_Longhorns_football_team,88.93,65.99,317.93,2.39,2.29,986,430,0.41,11.1,58.4,9.7,11,12.3,11.7,10.6,Fairly Difficult (10th-12th grade),1.1,4,0.01,0,0.0,30.0,0,0.0,0.07,0.52,0.553,0.04
Wikipedia,non_related_wikipedia_samples,wiki__4th_Army__Kingdom_of_Yugoslavia_,https://en.wikipedia.org/wiki/4th_Army__Kingdom_of_Yugoslavia_,66.88,45.33,214.57,1.99,2.65,963,364,0.43,15.4,34.7,13.8,16,18.0,16.0,13.2,Difficult (College),0.3,1,0.0,0,0.0,30.0,0,0.0,0.15,0.65,0.968,0.03
Wikipedia,non_related_wikipedia_samples,wiki__13th_Waffen_Mountain_Division_of_the_SS_Handschar__1st_Croatian_,https://en.wikipedia.org/wiki/13th_Waffen_Mountain_Division_of_the_SS_Handschar__1st_Croatian_,71.27,56.69,253.9,2.15,2.72,1168,430,0.44,15.1,37.1,13.5,15,17.5,15.6,13.1,Difficult (College),2.1,8,0.02,0,0.0,30.0,0,0.0,0.18,0.58,0.58,0.1
Wikipedia,non_related_wikipedia_samples,wiki__2nd_Infantry_Division__United_Kingdom_,https://en.wikipedia.org/wiki/2nd_Infantry_Division__United_Kingdom_,106.36,92.04,484.92,2.69,2.03,959,473,0.42,13.1,47.2,11.3,12,15.5,14.2,11.6,Difficult (College),2.2,8,0.02,0,0.0,30.0,0,0.0,0.12,0.56,0.478,0.07
Long PRD,prd_files,krish-59__passportlink__Product_Requirements_Document__Passport,https://github.com/krish-59/passportlink,101.57,83.06,367.72,1.82,1.07,878,822,0.5,11.2,48.7,10.0,10,12.6,12.1,11.4,Difficult (College),53.1,16,0.02,321,0.36,28.2,3,0.3,0.19,0.45,0.778,0.53
